positive,negative,label
21.010,-23.130,0
31.160,-20.12,1
84.93,-22.25,0
13.37,-3.34,1
8.06,-0.99,1
3.50,-0.46,0
5.87,-3.68,0
26.26,-15.350,1
43.94,-18.670,1
10.05,-4.65,1
84.220,-39.910,0
58.200,-19.81,1
141.01,-74.510,1
17.18,-10.19,0
18.110,-3.890,1
9.48,-1.64,0
65.960,-22.920,1
32.98,-9.24,1
10.31,-5.70,0
30.17,-7.47,0
14.08,-33.030,0
7.98,-1.4,1
116.57,-39.93,0
28.16,-10.91,1
36.860,-12.88,1
40.670,-25.20,1
24.45,-8.04,0
17.970,-27.120,0
2.76,-1.58,0
35.95,-7.64,1
111.080,-28.78,1
84.220,-28.05,1
38.01,-33.500,1
43.330,-25.910,0
30.740,-8.960,1
17.10,-5.51,1
84.700,-21.410,1
68.370,-15.60,1
12.170,-1.43,1
2.73,-0.960,0
45.830,-93.63,0
22.78,-8.17,1
110.260,-63.68,1
5.74,-0.720,1
19.60,-29.92,0
14.400,-7.34,0
21.10,-20.640,0
1.76,-3.06,1
32.36,-22.94,1
75.55,-40.010,0
42.42,-11.16,1
6.39,-12.56,1
98.420,-46.730,0
9.98,-8.60,1
33.610,-29.260,0
50.270,-24.87,1
26.76,-21.490,0
20.650,-5.48,1
21.540,-7.83,1
21.150,-14.34,1
31.21,-12.17,0
74.080,-28.48,1
98.180,-26.24,1
16.79,-0.65,1
8.870,-3.00,1
33.490,-40.780,1
20.96,-11.980,0
20.95,-6.12,1
7.17,-2.97,0
23.880,-53.63,0
11.21,-11.99,0
14.87,-24.95,0
19.38,-5.96,1
25.87,-17.69,0
32.450,-11.69,1
9.91,-18.96,0
144.88,-55.43,1
7.26,-18.37,0
42.09,-32.980,0
13.84,-1.51,1
16.64,-10.440,1
6.35,-1.03,1
47.990,-63.510,0
17.13,-17.83,0
12.040,-10.510,1
228.430,-121.940,0
105.930,-66.590,1
84.690,-97.840,0
30.860,-9.91,0
8.20,-4.41,1
6.90,-2.05,1
61.21,-58.160,0
78.87,-27.23,1
9.55,-5.76,1
53.200,-39.06,0
69.94,-30.79,0
6.50,-7.76,0
64.370,-27.130,0
22.29,-6.88,0
35.700,-11.58,1
107.910,-36.060,1
56.36,-56.760,0
20.86,-4.230,1
47.32,-10.35,1
56.670,-63.480,1
179.950,-88.010,1
8.96,-1.35,1
37.64,-26.200,0
17.77,-5.44,0
4.98,-5.54,1
29.94,-14.99,1
4.81,-8.87,1
16.09,-17.88,0
18.010,-20.12,0
24.77,-8.80,1
20.20,-5.77,1
78.95,-32.41,0
19.09,-16.120,1
19.02,-5.32,1
11.68,-1.12,1
52.94,-38.88,0
55.680,-27.110,0
11.910,-9.90,0
3.720,-1.390,1
41.970,-40.850,0
5.99,-8.81,1
29.33,-10.07,1
8.67,-12.31,0
132.660,-47.20,0
72.340,-22.150,1
63.70,-71.970,1
7.15,-15.12,0
18.80,-9.41,0
2.25,-2.16,0
23.560,-14.120,1
26.46,-21.78,1
35.15,-36.46,0
30.42,-33.22,1
25.06,-23.95,0
29.750,-16.21,0
177.730,-91.610,1
23.43,-25.090,0
19.22,-8.10,1
49.670,-41.59,1
146.34,-54.30,1
70.510,-44.990,1
13.83,-21.80,0
19.60,-9.09,0
3.73,-6.060,1
7.650,-2.65,1
6.25,-11.030,0
57.95,-4.64,1
7.03,-0.52,1
82.680,-47.08,0
3.48,-4.000,1
32.280,-16.950,1
109.510,-41.220,1
35.81,-7.760,1
2.660,-7.65,0
2.00,-4.56,0
6.89,-6.280,0
4.85,-4.07,0
183.16,-63.520,1
5.76,-2.80,1
17.66,-19.33,1
4.53,-2.30,1
85.530,-63.200,0
30.55,-24.94,0
14.740,-16.550,0
93.880,-39.390,0
21.960,-13.720,0
70.76,-39.08,0
16.75,-5.68,1
62.14,-38.550,0
36.69,-48.65,1
85.120,-69.13,0
14.79,-8.77,1
36.250,-23.85,0
82.980,-44.640,1
3.790,-2.45,0
11.94,-4.460,1
21.780,-31.450,0
72.150,-16.91,1
19.58,-2.78,1
47.640,-14.13,1
18.49,-15.820,0
2.21,-6.35,0
5.93,-2.22,1
11.69,-11.65,1
1.15,-4.13,1
63.940,-27.56,1
6.32,-6.32,0
87.150,-42.650,0
0.15,-7.86,0
20.38,-1.36,1
21.470,-24.410,0
4.34,-3.27,0
8.02,-8.44,0
8.480,-3.43,1
44.510,-24.93,0
24.36,-24.17,0
23.12,-4.18,1
42.16,-16.250,1
7.750,-0.85,1
18.99,-8.49,1
41.160,-24.460,1
36.49,-24.04,0
2.59,-2.06,0
66.330,-16.27,1
38.830,-20.870,0
5.84,-1.13,1
3.84,-1.70,1
1.77,-6.86,0
97.600,-47.430,0
21.65,-12.570,0
46.350,-30.180,0
46.49,-6.59,1
121.31,-82.060,0
20.61,-24.670,0
10.43,-8.56,1
11.03,-2.35,1
13.76,-12.25,0
1.15,-4.24,1
116.650,-71.150,1
28.480,-25.710,0
15.75,-5.57,1
3.21,-2.31,1
183.890,-67.250,1
55.620,-15.64,1
10.410,-12.99,0
25.22,-15.220,1
1.28,-4.34,0
27.74,-18.41,1
23.120,-11.23,1
76.130,-71.380,0
19.67,-7.75,1
193.990,-112.420,1
75.34,-59.20,1
36.20,-46.050,0
33.18,-6.79,1
13.120,-7.04,1
26.86,-28.410,0
35.64,-9.91,0
74.47,-16.36,1
25.85,-7.900,1
28.110,-38.24,0
14.39,-7.01,0
17.780,-4.50,1
30.42,-27.090,0
42.84,-24.120,1
20.36,-11.05,1
78.100,-53.88,1
17.14,-8.09,0
69.860,-50.11,0
11.92,-12.79,0
37.60,-12.570,1
15.45,-11.83,0
13.56,-15.73,0
23.43,-18.200,1
0.590,-2.59,0
21.52,-9.94,0
83.550,-123.620,0
29.240,-10.580,1
18.26,-18.34,1
5.77,-11.13,0
15.56,-12.10,1
44.750,-51.56,0
27.270,-19.24,1
25.72,-32.440,0
22.54,-0.57,1
50.48,-58.60,0
40.47,-33.46,0
5.940,-14.85,0
31.99,-35.02,0
29.80,-8.80,1
7.390,-3.40,1
14.48,-17.290,0
10.48,-9.40,0
16.91,-19.33,0
29.08,-6.45,1
26.79,-5.760,1
100.970,-66.120,1
14.45,-15.05,0
0.4,0,1
24.320,-9.09,1
32.09,-3.51,1
23.18,-13.47,0
3.10,-1.12,0
26.15,-24.04,0
7.17,-6.81,0
19.48,-24.13,0
132.310,-66.680,1
25.80,-18.93,1
12.36,-4.59,1
11.730,-2.97,1
110.160,-27.44,1
14.020,-15.55,1
68.550,-37.58,0
29.270,-10.190,1
83.950,-120.580,0
10.45,-0.87,1
9.71,-15.76,0
6.48,-3.15,1
26.130,-15.80,0
84.160,-59.740,0
41.460,-34.43,0
13.50,-23.480,0
201.63,-132.490,1
32.47,-22.73,1
55.77,-30.490,1
148.300,-88.300,0
10.92,-0.58,0
48.41,-8.26,1
21.05,-13.39,1
22.00,-4.95,1
10.58,-0.96,0
124.460,-44.450,1
16.230,-6.32,1
52.62,-35.020,0
25.08,-6.23,1
50.00,-10.660,1
52.830,-35.750,0
31.230,-45.950,0
17.450,-12.71,0
8.09,-2.12,1
4.09,-0.41,1
5.16,-3.38,0
105.020,-69.910,1
49.770,-28.240,0
1.96,-4.33,0
33.18,-20.17,1
44.68,-2.93,1
33.77,-16.53,1
22.61,-17.45,0
22.02,-5.01,1
66.410,-14.30,1
7.08,-11.13,0
38.960,-25.20,1
9.01,-15.21,0
20.110,-6.410,1
2.25,-2.22,1
13.590,-17.83,0
22.540,-10.89,0
40.11,-8.260,1
154.200,-56.170,1
27.84,-37.50,0
37.250,-27.45,0
12.57,-2.09,1
40.47,-7.10,0
10.07,-23.98,0
5.84,-1.79,1
26.64,-13.07,0
27.030,-7.95,0
32.290,-29.500,0
30.780,-4.770,1
52.300,-44.74,0
12.74,-24.05,0
15.96,-17.730,0
3.89,-6.81,1
27.710,-25.30,0
30.40,-4.810,0
28.27,-24.33,1
155.62,-49.240,1
54.91,-27.45,1
24.80,-12.240,1
8.70,-0.84,0
13.44,-17.54,0
48.38,-56.960,0
54.130,-28.540,1
90.950,-56.450,1
126.950,-50.60,1
60.860,-29.480,0
3.23,-3.27,1
90.500,-41.610,1
11.890,-8.50,0
11.930,-8.85,0
3.53,-2.40,1
3.810,-11.30,1
21.70,-6.12,1
23.27,-9.57,0
37.08,-34.500,0
50.95,-37.250,0
3.62,-9.30,0
8.51,-10.020,0
13.54,-5.01,1
4.410,-0.5,1
13.020,-8.55,0
48.96,-16.010,1
21.90,-12.70,0
72.770,-52.230,1
23.090,-11.260,0
26.69,-14.580,1
126.69,-29.63,1
3.84,-17.290,0
18.53,-8.38,1
28.630,-17.17,1
25.170,-11.89,0
171.580,-101.720,0
14.62,-14.18,0
51.62,-4.90,1
20.03,-7.49,0
103.670,-15.64,1
45.69,-7.63,1
10.01,-2.86,0
32.84,-11.170,1
58.170,-29.23,0
20.77,-37.280,0
7.87,-2.58,1
16.22,-12.86,1
73.130,-38.710,1
2.67,-6.77,0
32.17,-12.82,1
15.19,-22.860,0
16.63,-10.00,0
116.400,-48.050,1
14.08,-22.730,0
29.56,-15.44,1
8.35,-6.880,0
22.70,-13.99,0
33.500,-9.58,1
37.49,-12.39,0
58.83,-58.350,0
58.890,-26.650,1
27.80,-9.030,1
164.110,-117.980,1
